titre,entreprise,contrat,localisation,lien,date_scraping
R&D Data Scientist - Intern,Descartesunderwriting,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/descartesunderwriting/jobs/r-d-data-scientist-intern_paris_DU_m8dggwA,2026-02-10
Data Scientist - Intern,Descartesunderwriting,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/descartesunderwriting/jobs/data-scientist-intern_paris,2026-02-10
Alternant / Stagiaire Data & IA H/F,Wevioo,Alternant,Paris,https://www.welcometothejungle.com/fr/companies/wevioo/jobs/alternant-data-ia-h-f_paris,2026-02-10
Data Scientist (F/H),Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-f-h_nanterre_AXA_j58qOM6,2026-02-10
Data Scientist – Practice IA chez MARGO,Margo,Projets Marketing & Optimisation,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/data-scientist-practice-ia-chez-margo-projets-marketing-optimisation_paris,2026-02-10
DATA SCIENTIST,Ministere Des Armees Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/data-scientist_paris,2026-02-10
Data Scientist Bureau d'Etudes Support et Services F/H,Safran Aircraft Engines,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/data-scientist-bureau-d-etudes-support-et-services-f-h_montereau-sur-le-jard,2026-02-10
DATA ANALYST/SCIENTIST,Lineup 7,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/lineup-7/jobs/data-analyst-scientist_paris,2026-02-10
Consultant Data Analyst / Scientist - Stage FE (H-F),Arcane,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arcane/jobs/consultant-data-analyst-scientist-stage-fe-h-f_paris_ARCAN_6lqKbP7,2026-02-10
DATA SCIENTIST - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-h-f_paris-1er-arrondissement_BDF_V7DPG9,2026-02-10
DATA SCIENTIST DIGITALISATION DES PROCESSUS LCB-FT - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-digitalisation-des-processus-lcb-ft-h-f_paris-1er-arrondissement,2026-02-10
Expert Transformation Data et IA F/H,Jcdecaux,Non précisé,France,https://www.welcometothejungle.com/fr/companies/jcdecaux/jobs/expert-transformation-data-et-ia-f-h_neuilly-sur-seine,2026-02-10
Stage - 6 mois - Data scientist F/H,Natixis,Stage,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/stage-6-mois-data-scientist-f-h_paris_NATIX_2OO5m0P,2026-02-10
Data Scientist H/F,Pmu,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/pmu/jobs/data-scientist-h-f_paris_PMU_rGGrgAZ,2026-02-10
Data Scientist - AI Marketplace Platform,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-ai-marketplace-platform_paris_MIRAK_o6d0KgL,2026-02-10
Data Scientist - AI Marketplace Platform,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-ai-marketplace-platform_paris,2026-02-10
