titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche,id_apec
Data Scientist Bureau d'Etudes Support et Services F/H,Safran Aircraft Engines,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177956733W,2026-02-10,APEC,Data Scientist,177956733W
[SOM LIGERON]Data-Scientist F/H,SOM Ligeron,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178111665W,2026-02-10,APEC,Data Scientist,178111665W
Ingénieur R&D Data Scientist Expérimenté F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178100838W,2026-02-10,APEC,Data Scientist,178100838W
Data Scientist Bureau d'Etudes Support et Services F/H,Engagement Jeunes,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177931008W,2026-02-10,APEC,Data Scientist,177931008W
Data Scientist Bureau d'Etudes Support et Services F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177929455W,2026-02-10,APEC,Data Scientist,177929455W
Consultant Senior/Manager - Lead Data Science & Data Scientist Senior F/H,Handicap-Job.com,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178080856W,2026-02-10,APEC,Data Scientist,178080856W
Ingénieur Data Scientist Confirmé - Industrie - le Plessis Robinson F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177927183W,2026-02-10,APEC,Data Scientist,177927183W
Ingénieur études / data scientist en altimétrie spatiale F/H,CLS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178109817W,2026-02-10,APEC,Data Scientist,178109817W
Product Manager Data Science F/H,Bluecoders,,,50 - 60 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178007217W,2026-02-10,APEC,Data Scientist,178007217W
Architecte Data F/H,MICHAEL PAGE INTERNATIONAL FRANCE,,,80 - 90 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177982963W,2026-02-10,APEC,Data Scientist,177982963W
Talent Acquisition Specialist Data en alternance F/H,Capgemini,,,208 - 235 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178048167W,2026-02-10,APEC,Data Scientist,178048167W
Lead data F/H,AMILTONE,,,A partir de 40 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178091391W,2026-02-10,APEC,Data Scientist,178091391W
Data officer - data factory F/H,EURO-INFORMATION DEVELOPPEMENTS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178074782W,2026-02-10,APEC,Data Scientist,178074782W
Data officer - data factory F/H,EURO-INFORMATION DEVELOPPEMENTS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178074781W,2026-02-10,APEC,Data Scientist,178074781W
Chef de projet Data X/ F/H,ABYLSEN,,,45 - 55 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178112952W,2026-02-10,APEC,Data Scientist,178112952W
Architecte Data F/H,Hellowork,,,80 - 90 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177996800W,2026-02-10,APEC,Data Scientist,177996800W
Data Engineer F/H,ALTERSIS PARIS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177948038W,2026-02-10,APEC,Data Scientist,177948038W
