titre,entreprise,contrat,localisation,lien,date_scraping,source
Data Scientist,Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/data-scientist_paris,2026-02-10,WTTJ
Lead Data Scientist,Illuin Tech,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/illuin-tech/jobs/lead-data-scientist_paris,2026-02-10,WTTJ
Data Scientist Roboticien H/F,Capgemini,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/data-scientist-roboticien-h-f_aix-en-provence,2026-02-10,WTTJ
Healthcare Data Scientist - F/H,Sysnav,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sysnav/jobs/healthcare-data-scientist-f-h,2026-02-10,WTTJ
Data Scientist - en Stage (F/H),Carrefour,Stage,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-scientist-en-stage-f-h_massy_CARRE_GZad8A5,2026-02-10,WTTJ
DATA SCIENTIST F/H,Groupe Adp,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/groupe-adp/jobs/data-scientist-f-h_tremblay-en-france_GA_4D4mbw0,2026-02-10,WTTJ
STAGE - Ingénieure / Ingénieur généraliste avec une spécialité en Data Science,Arianegroup,Stage,France,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/stage-ingenieure-ingenieur-generaliste-avec-une-specialite-en-data-science_saint-medard-en-jalles,2026-02-10,WTTJ
Data Science Manager,Illuin Tech,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/illuin-tech/jobs/data-science-manager_paris,2026-02-10,WTTJ
Data Scientist - Electricity Markets - Stage,Le Groupe Nw,Stage,Paris,https://www.welcometothejungle.com/fr/companies/le-groupe-nw/jobs/data-scientist-marches-electricite-france_paris,2026-02-10,WTTJ
Data scientist (stage),Datacraft,Stage,Paris,https://www.welcometothejungle.com/fr/companies/datacraft/jobs/data-scientist-stage_paris,2026-02-10,WTTJ
Data Scientist Pricing Optimization (F/H),Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-pricing-optimization-f-h_suresnes,2026-02-10,WTTJ
Data Scientist / Actuaire - Souscription – H/F,Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-actuaire-souscription-h-f_suresnes_AXA_bDPglkW,2026-02-10,WTTJ
DATA SCIENTIST H/F,Cnp Assurances,Non précisé,France,https://www.welcometothejungle.com/fr/companies/cnp-assurances/jobs/data-scientist-h-f_issy-les-moulineaux_CA_oYJM7MQ,2026-02-10,WTTJ
Data Scientist Senior (F/H),Vertone,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/vertone/jobs/data-scientist-senior-f-h_paris_VERTO_o9q4Pr,2026-02-10,WTTJ
Chef de projets Data Science (H/F),Suez,Non précisé,France,https://www.welcometothejungle.com/fr/companies/suez/jobs/chef-de-projets-data-science-h-f_pessac,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_WDxzbZ0,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_xyo0x2r,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_YodNm11,2026-02-10,WTTJ
DSR 75 Sécurité Routière ATR BSI Data Scientist confirmé (SIC),Ministere De L Interieur,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ministere-de-l-interieur/jobs/dsr-75-securite-routiere-atr-bsi-data-scientist-confirme-sic_paris,2026-02-10,WTTJ
Stage Data Scientist-NLP,Codoc,Stage,Paris,https://www.welcometothejungle.com/fr/companies/codoc/jobs/stage-nlp_paris,2026-02-10,WTTJ
Data Scientist H/F - CDI,Plebicom,Cdi,Lyon,https://www.welcometothejungle.com/fr/companies/plebicom/jobs/data-scientist-h-f-cdi_lyon,2026-02-10,WTTJ
Data Scientist (H/F) - Stage 6 mois (stage de césure possible),Allphins,Stage,Paris,https://www.welcometothejungle.com/fr/companies/allphins/jobs/data-scientist-h-f-stage-6-mois-teletravail-possible_paris,2026-02-10,WTTJ
Data Scientists / ML Engineers,Coface,Non précisé,France,https://www.welcometothejungle.com/fr/companies/coface/jobs/data-scientists-ml-engineers_bois-colombes,2026-02-10,WTTJ
